movie,genres,rating,rating-count,num-reviews,num-critics,gross-USA,gross-world
Jason Goes to Hell: The Final Friday, Fantasy Horror Thriller,4.2,27564,362,142.0,15935068.0,15935068.0
Devil's Due, Horror Mystery,4.1,15948,131,142.0,15821461.0,36921560.0
Fifty Shades of Grey, Drama Romance Thriller,4.1,293962,1557,404.0,166167230.0,569651467.0
The Apparition, Horror Thriller,4.1,18721,123,145.0,4936819.0,11350665.0
Zombie Strippers!, Comedy Horror Sci-Fi,4.1,17505,102,139.0,,
Norbit, Comedy Romance,4.1,67508,313,128.0,95673607.0,159814490.0
Torque, Action Comedy Crime,4.1,26840,217,88.0,21215059.0,46546197.0
Inspector Gadget, Action Adventure Comedy,4.1,44770,237,74.0,97403112.0,134403112.0
Beowulf, Action Adventure Fantasy,4.1,11069,158,39.0,,
Super Mario Bros., Adventure Comedy Family,4.1,48034,1948,317.0,20915465.0,20915465.0
RoboCop 3, Action Crime Sci-Fi,4.1,45251,208,101.0,10696210.0,10696210.0
Enes Batur Hayal mi Gerçek mi?, Comedy,4.0,53727,41,5.0,,
Thugs of Hindostan, Action Adventure,4.0,17207,924,29.0,1449848.0,39570044.0
Wounds, Drama Horror Mystery,4.0,14818,518,71.0,1449848.0,39570044.0
Tubelight, Drama War,4.0,13960,128,29.0,930058.0,4650456.0
The Last Exorcism: God Asks. The Devil Commands, Horror Thriller,4.0,15618,77,163.0,15179302.0,25051865.0
Shark Night 3D, Horror Thriller,4.0,24457,155,240.0,18877153.0,41363927.0
Recep Ivedik 3, Comedy,4.0,17260,2,6.0,18877153.0,22588876.0
The Last Airbender, Action Adventure Family,4.0,150301,1589,291.0,131772187.0,319713881.0
One Missed Call, Horror Mystery,4.0,30606,200,142.0,26890041.0,45847751.0
Material Girls, Comedy Family Romance,4.0,21387,95,56.0,11449638.0,16907725.0
Halloween: Resurrection, Horror Thriller,4.0,36748,650,164.0,30354442.0,37664855.0
Mr. Magoo, Adventure Comedy Family,4.0,14114,54,19.0,21437192.0,21437192.0
Street Fighter, Action Adventure Comedy,4.0,65115,830,858.0,33423521.0,99431786.0
Plan 9 from Outer Space, Horror Sci-Fi,4.0,35581,4523,3150.0,33423521.0,99431786.0
Zashchitniki, Action Adventure Comedy,3.9,11486,156,54.0,,
11-11-11, Horror Mystery Thriller,3.9,11965,71,91.0,32771.0,6963872.0
Jeepers Creepers 3, Action Horror Mystery,3.9,16683,3798,344.0,2335162.0,4017852.0
Prom Night, Horror Mystery,3.9,33458,285,152.0,43869350.0,57197876.0
You Got Served, Drama Music,3.9,25729,248,56.0,40363810.0,50576805.0
The Cat in the Hat, Adventure Comedy Family,3.9,51326,608,104.0,101149285.0,133960541.0
